model,epoch,split,metric,value
deeponet,80,train,relative_l2,0.17541088610887529
deeponet,80,validation,relative_l2,0.2275129199028015
pod_deeponet,1,train,relative_l2,0.6581903040409088
pod_deeponet,1,validation,relative_l2,0.5882511258125305
pod_deeponet,2,train,relative_l2,0.5598575890064239
pod_deeponet,2,validation,relative_l2,0.5723815739154816
pod_deeponet,3,train,relative_l2,0.5195926457643509
pod_deeponet,3,validation,relative_l2,0.5469328820705414
pod_deeponet,4,train,relative_l2,0.4767848014831543
pod_deeponet,4,validation,relative_l2,0.507106614112854
pod_deeponet,5,train,relative_l2,0.4552853852510452
pod_deeponet,5,validation,relative_l2,0.45660410523414613
pod_deeponet,6,train,relative_l2,0.4177033692598343
pod_deeponet,6,validation,relative_l2,0.427031672000885
pod_deeponet,7,train,relative_l2,0.3883655905723572
pod_deeponet,7,validation,relative_l2,0.42607717514038085
pod_deeponet,8,train,relative_l2,0.3872963607311249
pod_deeponet,8,validation,relative_l2,0.40678653717041013
pod_deeponet,9,train,relative_l2,0.34942806959152223
pod_deeponet,9,validation,relative_l2,0.35925987362861633
pod_deeponet,10,train,relative_l2,0.3322615161538124
pod_deeponet,10,validation,relative_l2,0.3594688087701797
pod_deeponet,11,train,relative_l2,0.30864697992801665
pod_deeponet,11,validation,relative_l2,0.30902495980262756
pod_deeponet,12,train,relative_l2,0.28818653225898744
pod_deeponet,12,validation,relative_l2,0.322317561507225
pod_deeponet,13,train,relative_l2,0.2914302110671997
pod_deeponet,13,validation,relative_l2,0.377126082777977
pod_deeponet,14,train,relative_l2,0.3003330513834953
pod_deeponet,14,validation,relative_l2,0.3916029930114746
pod_deeponet,15,train,relative_l2,0.3013859152793884
pod_deeponet,15,validation,relative_l2,0.3640884876251221
pod_deeponet,16,train,relative_l2,0.2828082948923111
pod_deeponet,16,validation,relative_l2,0.36429972648620607
pod_deeponet,17,train,relative_l2,0.28191010355949403
pod_deeponet,17,validation,relative_l2,0.36387214064598083
pod_deeponet,18,train,relative_l2,0.2669396221637726
pod_deeponet,18,validation,relative_l2,0.2996481269598007
pod_deeponet,19,train,relative_l2,0.26798856258392334
pod_deeponet,19,validation,relative_l2,0.3100376069545746
pod_deeponet,20,train,relative_l2,0.2621297001838684
pod_deeponet,20,validation,relative_l2,0.3031225562095642
pod_deeponet,21,train,relative_l2,0.22847937941551208
pod_deeponet,21,validation,relative_l2,0.2712796092033386
pod_deeponet,22,train,relative_l2,0.21609387546777725
pod_deeponet,22,validation,relative_l2,0.26548279225826266
pod_deeponet,23,train,relative_l2,0.21014095693826676
pod_deeponet,23,validation,relative_l2,0.26562424898147585
pod_deeponet,24,train,relative_l2,0.21085082441568376
pod_deeponet,24,validation,relative_l2,0.2920387744903564
pod_deeponet,25,train,relative_l2,0.23532071560621262
pod_deeponet,25,validation,relative_l2,0.33398091197013857
pod_deeponet,26,train,relative_l2,0.24151365458965302
pod_deeponet,26,validation,relative_l2,0.2831770420074463
